recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
15427,1113,3.99,CALIFORNIA,-117.63808,34.1207,37.273020265574615,-1.361138133885178,388.68,-0.4244973189095004
15428,1113,3.99,CALIFORNIA,-117.205,33.862,21.2986231726511,2.9761788675626417,417.99,0.1447633132077759
15430,1113,3.99,CALIFORNIA,-116.863,33.354,84.9935000986399,2.7124998124166275,465.0,-0.6539663125929246
15431,1113,3.99,CALIFORNIA,-117.60906,33.7953,44.19622597676263,-2.267084801065442,699.0,-1.4717934804994317
15433,1113,3.99,CALIFORNIA,-116.55,33.824,68.84689118660668,1.942520594227273,408.2,0.4078341339838151
15434,1113,3.99,CALIFORNIA,-116.8478,33.63,59.3469342258618,2.475770241412816,704.1,1.0209343376037974
15435,1113,3.99,CALIFORNIA,-118.40412,33.74346,112.70734487960576,-1.8730319945869136,529.99,0.3174165701014185
15436,1113,3.99,CALIFORNIA,-116.99684,34.87533,94.15368378532632,0.24127464691584,372.0,-1.9217069900686776
15437,1113,3.99,CALIFORNIA,-117.32674,33.97327,11.622488062999237,-2.411906337190627,360.0,0.025125184967411
15438,1113,3.99,CALIFORNIA,-117.37545,33.99351,13.824224364991949,-2.053216174843043,355.87,0.8191026742446814
15439,1113,3.99,CALIFORNIA,-117.235,34.232,20.046291761850824,0.0363164869802519,393.0,-1.5430616229721574
15440,1113,3.99,CALIFORNIA,-117.662,33.553,67.54352354144378,-2.5274867624254087,420.96,-2.490501531875009
15441,1113,3.99,CALIFORNIA,-117.28332,35.89095,204.1131958101508,-0.0178834383592403,482.0,0.4529556049348723
15442,1113,3.99,CALIFORNIA,-116.797,33.834,47.75716303730968,2.097927782383908,499.0,0.6261640207520887
15443,1113,3.99,CALIFORNIA,-118.64614,34.05933,129.55583142194402,-1.5571494600336495,750.25,-1.4113397622727506
15444,1113,3.99,CALIFORNIA,-117.789,33.829,56.191134409845134,-2.0226362537650657,440.67,-0.8009405890131059
15445,1113,3.99,CALIFORNIA,-117.769,33.664,64.93540785078837,-2.2913681080083603,302.09,-1.5214017766288688
15446,1113,3.99,CALIFORNIA,-117.098,34.106,14.681606289887462,1.1448706085655564,698.72,-0.2395206863857602
15447,1113,3.99,CALIFORNIA,-117.67822,34.38203,54.35309743670611,-0.8280190381828092,586.0,-0.5942503119563217
15450,1113,3.99,CALIFORNIA,-118.11783,34.48364,93.76194663789867,-1.029730643139562,405.0,-0.4231988681310514
15451,1113,3.99,CALIFORNIA,-118.14035,35.53664,184.1005705253868,-0.4579702100233789,402.0,0.2745277428664202
15452,1113,3.99,CALIFORNIA,-118.64971,34.1717,130.4807702661684,-1.4614685766848687,383.69,1.3610217779589713
15453,1113,3.99,CALIFORNIA,-117.443,33.917,23.75103931934249,-2.248382130782907,333.31,1.3447468504256377
15454,1113,3.99,CALIFORNIA,-117.252,33.968,9.28905478554438,-3.0509300144760783,414.83,1.6832674750992047
15455,1113,3.99,CALIFORNIA,-117.015,33.751,39.42808398622221,2.5764309165650703,333.7,1.250712930187488
15456,1113,3.99,CALIFORNIA,-117.267,33.699,39.15179895995198,-3.0844937654111826,646.0,2.3401017931093784
15457,1113,3.99,CALIFORNIA,-117.446,33.951,21.81919228805848,-2.1054593569506093,389.95,3.3668900318447825
